Id	Designator	Quantity	Part Number	Value	Description	Package	Unit Cost	Cost/Brd
1	QSWb3,QSWa4,QSW1,QSWa3,QSWb4,	4	AOT42S60L 	na	MOSFET TO220 120V side	Output side MOSFET	$13.37000	$53.48
	QSW1, QSW2	2	IPP045N10N3GXKSA1 		MOSFET TO220 12V side	Input side MOSFET	$5.63000	$11.26
	Ci, Cin, Coa, CDD	24	C2012X7T2E104M125AA 	0.1uF	Bypass capacitor	C_0805	$0.36000	$8.64
	Cob	6	ESH107M035AE3AA 	100uF	DC cap	D6.0mm_P2.50mm	$0.31000	$1.86
	2 * Rgx1-6,Rvi1-6, RDD1-6	24	RMCF0805FT10R0 	10	gate resistance	R_0805	$0.10000	$2.40
	Ren1-6	6	RMCF0805FT10K0 	10k	Pull-ups	R_0805	$0.10000	$0.60
	Fer1-6	6	BK2125HM601-T	600Ohm at 100MHz		R_0805	$0.10000	$0.60
	GateIso1-6	6	SI8271BB-IS	SI8271	gate driver	Si8271	$1.71000	$10.26
	DctoDC1-6	6	IK1212SA 	DCDC	dc dc converter, gate drive power	XP_DCDC	$4.15000	$24.90
								
								
3	R_detect1,R_detect2	2	ERJ-8GEYJ124V	120k	voltage detection	R_1206	$0.10000	$0.20
4	Vdetect1,Vdetect2	2	NOT SELECTED YET, estimated cost:		Measurement ICs	DIP-4_W7.62mm	$10.00000	$20.00
5	Cdci5,Coa5,Cuc1	3	C2012X7T2E104M125AA 	0.1uF	uC power bypass Caps	C_0805	$0.36000	$1.08
6	Cob5	1	ESH107M035AE3AA 	100uF	uC power DC cap	D6.0mm_P2.50mm	$0.31000	$0.31
7	RDD5	1	RMCF0805FT10R0 	10	resistance	R_0805	$0.10000	$0.10
8	U1	1	ATTINY24A-SSF		microcontroller	SOIC 3.9 width	$0.70000	$0.70
9	DCtoDC5	1	PDM2-S12-S5-S			CUI-DCDC	$5.71000	$5.71
0	Po1,Pi1,Pi2,Po2	4		PAD		PAD_1.5mmdrill		
11	Pgnd1, Pgnd2, P_detectOut1, P_detectOut2	4		PAD		PAD_0.78mmdrill		
								
12	Transformer	1	custom			custom	$25.00000	$25.00
	L1	1	PG0426.471NLT 	470nH			$3.17000	
13	C1	1	UBY1H162MHL	1600uF	Input LF filter	radial	$2.49000	$2.49
14	C2	1	B32529C0104K000 	0.1uF	Input HF filter	radial	$0.30000	$0.30
15	Cout1, Cout2	2	C4AQCBU5150A12J 	15uF	output LF filter	radial	$4.32000	$8.64
16	Cout3	1	B32922C3334K000 	0.33uF	Output HF filter	radial	$0.71000	$0.71
	miscellaneous	1	Case/heatsinking, wiring,  wall plugin, copper tape				$20.00000	$20.00
17	PCB Boards	2				89mm * 66mm (3.5 in by 2.6 in)	$71.15000	$142.30
								
							Total=	$341.54
								
							*6	$2,049.24
